"","y","date","lower","upper"
"1",88,2020-08-02,59,131
"2",77,2020-08-03,56.975,120.025
"3",95,2020-08-04,58,120
"4",78,2020-08-05,57,121
"5",87,2020-08-06,56,120
"6",88,2020-08-07,57,121
"7",86,2020-08-08,57,122
"8",59,2020-08-09,56.975,120.025
"9",129,2020-08-10,59,127
"10",95,2020-08-11,59,125
"11",74,2020-08-12,55,119
"12",74,2020-08-13,55,119
"13",86,2020-08-14,56,120
"14",102,2020-08-15,59,126
"15",51,2020-08-16,58,124
"16",127,2020-08-17,64,133
"17",117,2020-08-18,67,141
"18",87,2020-08-19,67,140
"19",97,2020-08-20,68.975,146.025
"20",143,2020-08-21,72,152
"21",76,2020-08-22,69,146
"22",95,2020-08-23,73,151.025
"23",155,2020-08-24,77,159.025
"24",86,2020-08-25,74,154
"25",125,2020-08-26,80,166
"26",137,2020-08-27,83,169
"27",118,2020-08-28,81,170
"28",114,2020-08-29,80.975,166.025
"29",89,2020-08-30,81,168.025
"30",156,2020-08-31,88,180
"31",135,2020-09-01,91,189
"32",140,2020-09-02,97,193
"33",149,2020-09-03,99,198
"34",127,2020-09-04,94.975,198
"35",157,2020-09-05,104,214.025
"36",125,2020-09-06,111,225
"37",184,2020-09-07,120.975,238.025
"38",241,2020-09-08,132,266
"39",186,2020-09-09,135,273.025
"40",163,2020-09-10,136,272.025
"41",235,2020-09-11,146,288
"42",184,2020-09-12,156,311
"43",223,2020-09-13,179,349
"44",377,2020-09-14,200,385.025
"45",255,2020-09-15,206,397.025
"46",326,2020-09-16,223,434.025
"47",339,2020-09-17,241,467.025
"48",399,2020-09-18,255.975,490
"49",380,2020-09-19,269.975,520
"50",290,2020-09-20,283.975,517.025
"51",514,2020-09-21,301.975,563.025
"52",518,2020-09-22,307.975,597
"53",344,2020-09-23,302,567.025
"54",394,2020-09-24,312.95,593.025
"55",496,2020-09-25,337,635.025
"56",465,2020-09-26,356.95,670.025
"57",449,2020-09-27,381,739
"58",767,2020-09-28,413,771.025
"59",562,2020-09-29,423,806.025
"60",645,2020-09-30,449.975,828
"61",582,2020-10-01,454.975,842.025
"62",733,2020-10-02,450.95,871
"63",643,2020-10-03,458,866.025
"64",487,2020-10-04,459,845.075
"65",720,2020-10-05,456.975,860.025
"66",564,2020-10-06,459,879
"67",643,2020-10-07,503.975,941.025
"68",836,2020-10-08,550.975,1027.15
"69",912,2020-10-09,563,1064.025
"70",865,2020-10-10,565,1070.05
"71",564,2020-10-11,540.95,1042.025
"72",757,2020-10-12,548.975,1021.025
"73",925,2020-10-13,574.975,1080.025
"74",766,2020-10-14,562.975,1059.025
"75",711,2020-10-15,552.95,1045
"76",900,2020-10-16,550.975,1043.075
"77",619,2020-10-17,526,997.075
"78",623,2020-10-18,531,1009.025
"79",771,2020-10-19,542.975,1035.025
"80",801,2020-10-20,568,1083.025
"81",816,2020-10-21,603.95,1116
"82",894,2020-10-22,630,1175.075
"83",887,2020-10-23,637,1204.025
"84",966,2020-10-24,657.925,1259
"85",952,2020-10-25,679.975,1276.05
"86",909,2020-10-26,651,1207.025
"87",871,2020-10-27,648.975,1200.025
"88",796,2020-10-28,647.975,1239.025
"89",994,2020-10-29,669,1273
"90",986,2020-10-30,674,1293.05
"91",863,2020-10-31,700,1286.125
"92",932,2020-11-01,717.975,1362.125
"93",1115,2020-11-02,752.975,1383.025
"94",1118,2020-11-03,754.975,1430.15
"95",1013,2020-11-04,760,1462.075
"96",1000,2020-11-05,776.925,1454.05
"97",1066,2020-11-06,803,1518
"98",1212,2020-11-07,870.975,1649.025
"99",1152,2020-11-08,937,1738.025
"100",1519,2020-11-09,977.975,1865.2
"101",1573,2020-11-10,1009.875,1953.075
"102",1353,2020-11-11,1027.975,1921.05
"103",1580,2020-11-12,1056.975,1946
"104",1419,2020-11-13,1032,1922
"105",1352,2020-11-14,1040.975,1912.025
"106",1346,2020-11-15,1030.975,1933.025
"107",1484,2020-11-16,1020.975,1901.125
"108",1443,2020-11-17,1008.95,1906.025
