"","y","date","lower","upper"
"1",11,2020-03-16,6,23
"2",24,2020-03-17,10.975,32
"3",20,2020-03-18,12,36
"4",27,2020-03-19,13,36
"5",18,2020-03-20,12.975,38
"6",42,2020-03-21,24,58
"7",38,2020-03-22,43,94
"8",409,2020-03-23,162,315.025
"9",412,2020-03-24,237.975,461
"10",299,2020-03-25,236.975,446.05
"11",290,2020-03-26,218,426.025
"12",392,2020-03-27,272.975,506.025
"13",477,2020-03-28,299.975,570
"14",342,2020-03-29,308,591.025
"15",590,2020-03-30,391.975,746
"16",732,2020-03-31,460,873.025
"17",449,2020-04-01,429,803.05
"18",907,2020-04-02,514.975,971
"19",583,2020-04-03,483.975,904.05
"20",896,2020-04-04,578,1087
"21",947,2020-04-05,633,1181.175
"22",636,2020-04-06,526.975,989.099999999999
"23",760,2020-04-07,549.975,1020.025
"24",691,2020-04-08,564,1062.1
"25",881,2020-04-09,567,1054.05
"26",765,2020-04-10,514.975,981.05
"27",615,2020-04-11,457.975,852.025
"28",554,2020-04-12,452,853
"29",711,2020-04-13,496.9,941.025
"30",691,2020-04-14,510,962.025
"31",612,2020-04-15,532.975,1002.075
"32",997,2020-04-16,606,1154.075
"33",941,2020-04-17,616,1170.075
"34",722,2020-04-18,563.975,1065.05
"35",834,2020-04-19,627,1180.075
"36",961,2020-04-20,654,1231.025
"37",806,2020-04-21,632.975,1186.05
"38",838,2020-04-22,633,1204.125
"39",873,2020-04-23,589,1116.025
"40",774,2020-04-24,546,1020.025
"41",653,2020-04-25,507,957
"42",840,2020-04-26,595.975,1134
"43",870,2020-04-27,616,1149.075
"44",777,2020-04-28,613,1148
"45",843,2020-04-29,650.95,1225
"46",948,2020-04-30,662.925,1260.075
"47",1110,2020-05-01,733,1380.025
"48",1008,2020-05-02,722,1342
"49",1102,2020-05-03,733.975,1392.025
"50",759,2020-05-04,622,1158.025
"51",795,2020-05-05,633,1174.075
"52",910,2020-05-06,653.975,1247.05
"53",915,2020-05-07,624,1158.025
"54",913,2020-05-08,628,1166.05
"55",836,2020-05-09,591,1101
"56",735,2020-05-10,563,1048.05
"57",748,2020-05-11,547.925,1026
"58",756,2020-05-12,568.95,1056
"59",705,2020-05-13,557.9,1038.025
"60",793,2020-05-14,539.975,1013
"61",697,2020-05-15,500,946.099999999999
"62",763,2020-05-16,526,974.025
"63",735,2020-05-17,524.975,980
"64",709,2020-05-18,504.975,944
"65",570,2020-05-19,466.975,883.025
"66",578,2020-05-20,459.975,870.025
"67",720,2020-05-21,470.975,904
"68",645,2020-05-22,464.975,858
"69",698,2020-05-23,467,876.099999999999
"70",573,2020-05-24,431.975,809.025
"71",573,2020-05-25,427,800
"72",614,2020-05-26,443.975,851
"73",539,2020-05-27,417,777
"74",564,2020-05-28,382.975,725.025
"75",529,2020-05-29,350,668.075
"76",419,2020-05-30,301,573.025
"77",410,2020-05-31,282,532.05
"78",294,2020-06-01,223,430.05
"79",237,2020-06-02,203,384.025
"80",292,2020-06-03,206,391.025
"81",259,2020-06-04,178.975,353
"82",255,2020-06-05,172.975,335
"83",227,2020-06-06,161,307.025
"84",225,2020-06-07,153,302.025
"85",198,2020-06-08,133,262.025
"86",139,2020-06-09,116,233.025
"87",156,2020-06-10,113,222.025
"88",144,2020-06-11,105,210
"89",181,2020-06-12,110,222
"90",158,2020-06-13,102,204
"91",128,2020-06-14,90.975,179
"92",101,2020-06-15,75,154
"93",93,2020-06-16,75,154
"94",117,2020-06-17,81,165
"95",120,2020-06-18,83,167.025
"96",167,2020-06-19,94,188
"97",124,2020-06-20,79,159.025
"98",91,2020-06-21,62,132
"99",69,2020-06-22,47,102
"100",49,2020-06-23,41,91
"101",54,2020-06-24,46.975,103
"102",142,2020-06-25,77,158
"103",143,2020-06-26,90,179
"104",144,2020-06-27,99,194
"105",145,2020-06-28,108,215
"106",311,2020-06-29,131,256.025
"107",68,2020-06-30,69,137
"108",66,2020-07-01,51,111
"109",69,2020-07-02,49,104
"110",89,2020-07-03,56,117
"111",102,2020-07-04,59,126
"112",79,2020-07-05,55,116
"113",74,2020-07-06,50.975,109
"114",60,2020-07-07,49,107
"115",82,2020-07-08,58,125
"116",137,2020-07-09,75,154
"117",100,2020-07-10,66,140
"118",91,2020-07-11,64,134
"119",114,2020-07-12,73,148.025
"120",100,2020-07-13,72,148
"121",109,2020-07-14,82,167
"122",129,2020-07-15,90,179
"123",142,2020-07-16,96,189
"124",141,2020-07-17,97,194.025
"125",158,2020-07-18,105,210
"126",166,2020-07-19,114,224
"127",150,2020-07-20,110,224.025
"128",180,2020-07-21,123,245
"129",142,2020-07-22,105,212
"130",142,2020-07-23,103,206
"131",163,2020-07-24,107,213.025
"132",171,2020-07-25,111.975,222.025
"133",169,2020-07-26,116,227
"134",145,2020-07-27,108.975,219
"135",169,2020-07-28,118,237
"136",176,2020-07-29,104.975,205.025
"137",58,2020-07-30,64.975,132
"138",181,2020-07-31,95,187
"139",146,2020-08-01,95.975,192
"140",141,2020-08-02,95,193
"141",123,2020-08-03,91,187
"142",123,2020-08-04,94,200
"143",155,2020-08-05,99,198
"144",133,2020-08-06,88,179
"145",108,2020-08-07,78,160.025
