"","y","date","lower","upper"
"1",88,2020-08-02,59,132.025
"2",77,2020-08-03,56,119.025
"3",95,2020-08-04,58,121
"4",78,2020-08-05,56.975,120.025
"5",87,2020-08-06,57.975,120
"6",88,2020-08-07,57,120
"7",86,2020-08-08,57,122
"8",59,2020-08-09,56,119
"9",129,2020-08-10,61,129
"10",95,2020-08-11,58,124
"11",74,2020-08-12,56,121
"12",74,2020-08-13,55,118
"13",86,2020-08-14,57,120
"14",102,2020-08-15,58.975,124
"15",51,2020-08-16,59,124
"16",127,2020-08-17,64,136
"17",117,2020-08-18,67,141
"18",87,2020-08-19,68,139
"19",97,2020-08-20,69.975,143.025
"20",143,2020-08-21,72,149
"21",76,2020-08-22,69,145
"22",95,2020-08-23,74,154
"23",155,2020-08-24,76,157
"24",86,2020-08-25,74,154.025
"25",125,2020-08-26,81.975,164.025
"26",137,2020-08-27,83,171
"27",118,2020-08-28,81,170.025
"28",114,2020-08-29,83,167.025
"29",89,2020-08-30,83,172
"30",156,2020-08-31,87,182.025
"31",135,2020-09-01,92,188
"32",140,2020-09-02,95.975,195.025
"33",149,2020-09-03,98,200
"34",127,2020-09-04,100,201
"35",157,2020-09-05,106,213
"36",125,2020-09-06,111,222
"37",184,2020-09-07,118,235
"38",241,2020-09-08,134,262
"39",186,2020-09-09,135,264.025
"40",163,2020-09-10,138,271
"41",235,2020-09-11,146.975,292
"42",184,2020-09-12,156,304.025
"43",223,2020-09-13,179,344.025
"44",377,2020-09-14,199,383.025
"45",255,2020-09-15,208,391.025
"46",326,2020-09-16,226,432.025
"47",339,2020-09-17,241,458.025
"48",399,2020-09-18,258.975,483
"49",380,2020-09-19,270,516
"50",290,2020-09-20,274.975,526
"51",514,2020-09-21,291.975,574
"52",518,2020-09-22,312,595.025
"53",344,2020-09-23,301.95,571.025
"54",394,2020-09-24,303.95,591.025
"55",496,2020-09-25,325,623.099999999999
"56",465,2020-09-26,345.975,672
"57",449,2020-09-27,383,730
"58",767,2020-09-28,411.975,785
"59",562,2020-09-29,429,794.05
"60",645,2020-09-30,437,846.05
"61",582,2020-10-01,448.975,852.075
"62",733,2020-10-02,456.975,872.099999999999
"63",643,2020-10-03,450.975,850.025
"64",487,2020-10-04,446.975,859.075
"65",720,2020-10-05,452.975,873.05
"66",564,2020-10-06,460.975,877
"67",643,2020-10-07,497,938
"68",836,2020-10-08,541.975,1010
"69",912,2020-10-09,561,1067.025
"70",865,2020-10-10,567,1078
"71",564,2020-10-11,537.975,1022.025
"72",757,2020-10-12,541,1028
"73",925,2020-10-13,571.975,1072.075
"74",766,2020-10-14,558.975,1052.025
"75",711,2020-10-15,551.975,1037
"76",900,2020-10-16,548.925,1052.05
"77",619,2020-10-17,533.95,980
"78",623,2020-10-18,536.975,1000.125
"79",771,2020-10-19,544,1033
"80",801,2020-10-20,579.975,1078.025
"81",816,2020-10-21,596,1113.025
"82",894,2020-10-22,622,1170
"83",887,2020-10-23,638.95,1199.05
"84",966,2020-10-24,669,1258.025
"85",952,2020-10-25,682,1290
"86",909,2020-10-26,643,1205.025
"87",871,2020-10-27,641.925,1211.175
"88",796,2020-10-28,654,1228.025
"89",994,2020-10-29,672.975,1262
"90",986,2020-10-30,671.975,1275.075
"91",863,2020-10-31,693,1320.075
"92",932,2020-11-01,724,1339.1
"93",1115,2020-11-02,740.975,1391.05
"94",1118,2020-11-03,764.975,1428.05
"95",1013,2020-11-04,768,1435.025
"96",1000,2020-11-05,760.975,1443.025
"97",1066,2020-11-06,809.975,1497.025
"98",1212,2020-11-07,885.975,1629.025
"99",1152,2020-11-08,938,1731.175
"100",1519,2020-11-09,966.9,1834.05
"101",1573,2020-11-10,1037.975,1936.05
"102",1353,2020-11-11,1043,1939.05
"103",1580,2020-11-12,1045,1966.15
"104",1419,2020-11-13,1029.95,1929.025
"105",1352,2020-11-14,1033.95,1936.1
"106",1346,2020-11-15,1041,1934.05
"107",1484,2020-11-16,1018.975,1902.025
"108",1443,2020-11-17,1032.975,1915.05
"109",1290,2020-11-18,1011,1904.075
"110",1359,2020-11-19,1003.95,1903.05
"111",1465,2020-11-20,1023.975,1939.075
"112",1501,2020-11-21,1059.95,1988.025
"113",1415,2020-11-22,1062,1994.025
"114",1422,2020-11-23,1051.95,2009.025
"115",1397,2020-11-24,1078,2035
"116",1478,2020-11-25,1113.975,2041.05
"117",1570,2020-11-26,1161.975,2160.025
"118",1844,2020-11-27,1197.975,2284.05
"119",1700,2020-11-28,1252.95,2296.05
"120",1600,2020-11-29,1256.975,2353.025
"121",1802,2020-11-30,1251.975,2425.125
"122",2033,2020-12-01,1308,2457.35
"123",1825,2020-12-02,1307.95,2419
"124",1539,2020-12-03,1260.975,2455.05
"125",1937,2020-12-04,1315.975,2431.225
"126",1746,2020-12-05,1355.975,2495.25
"127",1931,2020-12-06,1380.9,2605.125
"128",1973,2020-12-07,1378.95,2586.15
"129",1897,2020-12-08,1378.95,2627.1
"130",1953,2020-12-09,1355,2618.125
"131",1949,2020-12-10,1365.95,2529.05
"132",1768,2020-12-11,1324,2515.05
"133",1763,2020-12-12,1367.875,2504.025
"134",1600,2020-12-13,1400.85,2606.05
"135",2373,2020-12-14,1492.95,2799.025
"136",2106,2020-12-15,1553.95,2945.1
"137",2251,2020-12-16,1602.975,3005.05
"138",2461,2020-12-17,1667.95,3087.075
"139",2289,2020-12-18,1644.875,3062.3
"140",2476,2020-12-19,1688.925,3165.025
"141",1921,2020-12-20,1652.975,3063.05
"142",2448,2020-12-21,1673.975,3138.05
"143",2269,2020-12-22,1662.95,3172.025
"144",2513,2020-12-23,1686.925,3189.1
"145",2354,2020-12-24,1647.975,3110.075
"146",2101,2020-12-25,1600.975,2956
"147",1719,2020-12-26,1611.975,3021.025
"148",1924,2020-12-27,1760,3319.1
"149",3840,2020-12-28,2025.85,3865.1
"150",3075,2020-12-29,2200.9,4172.225
"151",3034,2020-12-30,2300.875,4308.05
"152",3214,2020-12-31,2397.975,4362.475
"153",3659,2021-01-01,2533.975,4722.175
"154",3803,2021-01-02,2674.975,4995.2
"155",4064,2021-01-03,2774.975,5045.075
"156",4027,2021-01-04,2645.975,4985.075
"157",3265,2021-01-05,2557.975,4813.025
"158",3047,2021-01-06,2466.825,4649.1
"159",3343,2021-01-07,2510.9,4703.22499999999
"160",4235,2021-01-08,2612.9,4935.05
"161",3728,2021-01-09,2651.95,4990.25
"162",3343,2021-01-10,2614.975,4755.025
"163",3977,2021-01-11,2556,4680
"164",2695,2021-01-12,2336.95,4402.15
"165",3287,2021-01-13,2322,4380.1
"166",3241,2021-01-14,2299.9,4327.05
"167",3088,2021-01-15,2154.9,4048.15
"168",2853,2021-01-16,2126,3949.1
"169",2862,2021-01-17,2109.9,3939.4
"170",2751,2021-01-18,2005.975,3663.025
"171",2433,2021-01-19,1941,3609.175
"172",2458,2021-01-20,1874.925,3496.2
"173",2913,2021-01-21,1828.95,3430.025
"174",2465,2021-01-22,1733.975,3193.05
"175",2190,2021-01-23,1659.975,3084.225
"176",1949,2021-01-24,1544.85,2936.025
"177",2233,2021-01-25,1496.925,2814
"178",1809,2021-01-26,1446.9,2697.075
"179",1762,2021-01-27,1411.95,2635.6
"180",2035,2021-01-28,1382.9,2590
"181",1970,2021-01-29,1337.975,2516.025
"182",1702,2021-01-30,1275.975,2381.075
"183",1789,2021-01-31,1237.925,2353.125
"184",1977,2021-02-01,1145.975,2129.05
"185",866,2021-02-02,1002.975,1869.05
"186",1214,2021-02-03,982,1835.075
"187",1583,2021-02-04,1030,1933.1
"188",1643,2021-02-05,1031.95,1946.025
"189",1349,2021-02-06,979,1847
"190",1360,2021-02-07,959.95,1792
"191",1305,2021-02-08,906,1715
"192",984,2021-02-09,849.975,1621.05
"193",1149,2021-02-10,825,1549.05
"194",956,2021-02-11,786.925,1486.1
"195",1368,2021-02-12,786,1492.025
"196",1265,2021-02-13,760.975,1430.175
"197",569,2021-02-14,687.975,1288.05
"198",965,2021-02-15,722.95,1333.025
"199",1229,2021-02-16,774.975,1457
"200",979,2021-02-17,777.975,1446.05
"201",1120,2021-02-18,786,1460.1
"202",1196,2021-02-19,783.9,1491.05
"203",1093,2021-02-20,817.925,1517
"204",1044,2021-02-21,812,1530.125
"205",1192,2021-02-22,808.9,1507.125
"206",1035,2021-02-23,808.95,1531.025
"207",1128,2021-02-24,821,1562.025
"208",1180,2021-02-25,808.925,1529.075
"209",1289,2021-02-26,807.975,1547
"210",1015,2021-02-27,786.975,1489.15
"211",976,2021-02-28,787.975,1467.2
"212",1225,2021-03-01,795.925,1467.1
"213",950,2021-03-02,782.9,1474
"214",920,2021-03-03,766.975,1465.025
"215",1197,2021-03-04,798.975,1530
"216",1126,2021-03-05,820.95,1522.125
"217",1059,2021-03-06,860.975,1631.05
"218",1321,2021-03-07,936,1737.05
