"","y","date","lower","upper"
"1",88,2020-08-02,59,133
"2",77,2020-08-03,54.975,120.025
"3",95,2020-08-04,56,125
"4",78,2020-08-05,57,122
"5",87,2020-08-06,57,120
"6",88,2020-08-07,56,119.025
"7",86,2020-08-08,56,121
"8",59,2020-08-09,56,123
"9",129,2020-08-10,61,127
"10",95,2020-08-11,58,128.025
"11",74,2020-08-12,54.975,119
"12",74,2020-08-13,55,118
"13",86,2020-08-14,56,121
"14",102,2020-08-15,59,128
"15",51,2020-08-16,58,125.025
"16",127,2020-08-17,62.975,132.025
"17",117,2020-08-18,66,140.025
"18",87,2020-08-19,67,145
"19",97,2020-08-20,69,143
"20",143,2020-08-21,72,154
"21",76,2020-08-22,69,144
"22",95,2020-08-23,74,154
"23",155,2020-08-24,76,162
"24",86,2020-08-25,73,153
"25",125,2020-08-26,80,167
"26",137,2020-08-27,82.975,171
"27",118,2020-08-28,82,165
"28",114,2020-08-29,81,165
"29",89,2020-08-30,82.975,170.025
"30",156,2020-08-31,87,177.025
"31",135,2020-09-01,93,191.025
"32",140,2020-09-02,97,193.025
"33",149,2020-09-03,98,200
"34",127,2020-09-04,98,197.025
"35",157,2020-09-05,103,212
"36",125,2020-09-06,112,225
"37",184,2020-09-07,117,242
"38",241,2020-09-08,132,262.025
"39",186,2020-09-09,135,271.025
"40",163,2020-09-10,137.975,267
"41",235,2020-09-11,148.975,291
"42",184,2020-09-12,158,308.025
"43",223,2020-09-13,181,344
"44",377,2020-09-14,197.975,379
"45",255,2020-09-15,203,397.025
"46",326,2020-09-16,226.975,428.025
"47",339,2020-09-17,239,463
"48",399,2020-09-18,253.975,486.025
"49",380,2020-09-19,267,512.025
"50",290,2020-09-20,277,531
"51",514,2020-09-21,301.975,577.025
"52",518,2020-09-22,307,590
"53",344,2020-09-23,296,581.05
"54",394,2020-09-24,315.975,589
"55",496,2020-09-25,327,622.025
"56",465,2020-09-26,356.975,674
"57",449,2020-09-27,385.975,735
"58",767,2020-09-28,416,780
"59",562,2020-09-29,423,813.025
"60",645,2020-09-30,428.975,854
"61",582,2020-10-01,445.975,835.025
"62",733,2020-10-02,456.975,867
"63",643,2020-10-03,457,867.025
"64",487,2020-10-04,446,840
"65",720,2020-10-05,449.975,865.025
"66",564,2020-10-06,459,874.05
"67",643,2020-10-07,503,937.05
"68",836,2020-10-08,541.975,1036.1
"69",912,2020-10-09,559,1072.05
"70",865,2020-10-10,565,1065.15
"71",564,2020-10-11,536.975,1042.05
"72",757,2020-10-12,551,1038.05
"73",925,2020-10-13,561.925,1080.075
"74",766,2020-10-14,558.975,1063.025
"75",711,2020-10-15,534,1024.025
"76",900,2020-10-16,548.95,1023.05
"77",619,2020-10-17,532.9,978.025
"78",623,2020-10-18,532.975,995.025
"79",771,2020-10-19,541,1042.025
"80",801,2020-10-20,556.975,1070.05
"81",816,2020-10-21,600,1112.025
"82",894,2020-10-22,617,1168
"83",887,2020-10-23,641,1214.05
"84",966,2020-10-24,674.95,1249
"85",952,2020-10-25,680.975,1285.1
"86",909,2020-10-26,660,1233.05
"87",871,2020-10-27,655,1220.025
"88",796,2020-10-28,646.95,1233.05
"89",994,2020-10-29,665.975,1255
"90",986,2020-10-30,682.925,1271
"91",863,2020-10-31,690,1304.025
"92",932,2020-11-01,728.975,1368.075
"93",1115,2020-11-02,727.975,1401.15
"94",1118,2020-11-03,770,1427.1
"95",1013,2020-11-04,774,1444.05
"96",1000,2020-11-05,774,1465.025
"97",1066,2020-11-06,789.95,1531.075
"98",1212,2020-11-07,862,1642.125
"99",1152,2020-11-08,927,1738.175
"100",1519,2020-11-09,964.95,1856.1
"101",1573,2020-11-10,1032.975,1928.025
"102",1353,2020-11-11,1027.925,1947.075
"103",1580,2020-11-12,1053.975,1936.075
"104",1419,2020-11-13,1033.975,1905.25
"105",1352,2020-11-14,1013.975,1906.175
"106",1346,2020-11-15,1048.975,1935
"107",1484,2020-11-16,1007.925,1890.1
"108",1443,2020-11-17,1036,1903.225
"109",1290,2020-11-18,1010,1898
"110",1359,2020-11-19,1011,1923.1
"111",1465,2020-11-20,1050.975,1957.1
"112",1501,2020-11-21,1087.925,2017.05
"113",1415,2020-11-22,1063.95,2011.075
"114",1422,2020-11-23,1032.975,2003
"115",1397,2020-11-24,1065.975,2030.325
"116",1478,2020-11-25,1116.975,2073.05
"117",1570,2020-11-26,1158.9,2142.05
"118",1844,2020-11-27,1204.875,2297.075
"119",1700,2020-11-28,1235.9,2326.025
