"","y","date","lower","upper"
"1",141,2020-08-02,98,187
"2",123,2020-08-03,96,180
"3",123,2020-08-04,100,184.025
"4",155,2020-08-05,101,182
"5",133,2020-08-06,91,170.025
"6",108,2020-08-07,85,156
"7",126,2020-08-08,84,155
"8",104,2020-08-09,82.975,153.025
"9",156,2020-08-10,89,166
"10",91,2020-08-11,78,149
"11",95,2020-08-12,71,132
"12",104,2020-08-13,65,126
"13",87,2020-08-14,58,115
"14",80,2020-08-15,51,103
"15",67,2020-08-16,46.975,94.0249999999999
"16",55,2020-08-17,42,87
"17",46,2020-08-18,42,86.0249999999999
"18",64,2020-08-19,47,91
"19",86,2020-08-20,53,104
"20",93,2020-08-21,58,114
"21",104,2020-08-22,60,116
"22",74,2020-08-23,55,109
"23",68,2020-08-24,54,107
"24",62,2020-08-25,59,114
"25",142,2020-08-26,73,139.025
"26",111,2020-08-27,69,131
"27",68,2020-08-28,63.975,121
"28",108,2020-08-29,72.975,137
"29",120,2020-08-30,84,156
"30",140,2020-08-31,95,175.025
"31",122,2020-09-01,101,187
"32",132,2020-09-02,105,193
"33",187,2020-09-03,121,212.025
"34",184,2020-09-04,128,229
"35",175,2020-09-05,131,235
"36",205,2020-09-06,142.975,250.025
"37",216,2020-09-07,149,265
"38",163,2020-09-08,143,259.025
"39",180,2020-09-09,142,249.025
"40",188,2020-09-10,141.975,255
"41",219,2020-09-11,158.975,283
"42",244,2020-09-12,177,307.025
"43",279,2020-09-13,199,346
"44",276,2020-09-14,217,374.025
"45",292,2020-09-15,241,408
"46",303,2020-09-16,253.975,436
"47",499,2020-09-17,284.975,486
"48",297,2020-09-18,272.975,472
"49",427,2020-09-19,301.975,525
"50",462,2020-09-20,350.975,594.025
"51",586,2020-09-21,399,671.025
"52",489,2020-09-22,409,694
"53",471,2020-09-23,402,683.025
"54",582,2020-09-24,432,733.025
"55",637,2020-09-25,474.975,808
"56",698,2020-09-26,521,878.025
"57",896,2020-09-27,594,1011
"58",750,2020-09-28,621.975,1036.025
"59",799,2020-09-29,654,1110.025
"60",838,2020-09-30,675,1147.025
"61",933,2020-10-01,702,1175.025
"62",1052,2020-10-02,760.975,1287.025
"63",1107,2020-10-03,799.925,1340.025
"64",1079,2020-10-04,831.975,1407.025
"65",1191,2020-10-05,908.9,1555.025
"66",1364,2020-10-06,942.9,1571.025
"67",900,2020-10-07,816,1359
"68",1078,2020-10-08,814,1335.025
"69",1102,2020-10-09,795.975,1329.025
"70",1097,2020-10-10,766.925,1293
"71",942,2020-10-11,740,1235.025
"72",843,2020-10-12,734.975,1223
"73",815,2020-10-13,759.95,1261.025
"74",1203,2020-10-14,813.975,1353
"75",969,2020-10-15,771.975,1290.025
"76",1055,2020-10-16,808,1362.025
"77",1278,2020-10-17,837,1391.025
"78",1093,2020-10-18,797,1361.075
"79",950,2020-10-19,794.95,1312.05
"80",877,2020-10-20,779,1303.025
"81",1072,2020-10-21,772.95,1294.025
"82",1033,2020-10-22,752,1260.05
"83",905,2020-10-23,715.975,1189.075
"84",1009,2020-10-24,708.95,1175
"85",879,2020-10-25,698.925,1156
"86",808,2020-10-26,711,1189.1
"87",963,2020-10-27,767,1271.075
"88",929,2020-10-28,757,1242.075
"89",1029,2020-10-29,774.975,1273
"90",1109,2020-10-30,800,1305.05
"91",1064,2020-10-31,767.925,1284.025
"92",965,2020-11-01,777,1291.125
"93",1037,2020-11-02,800.975,1346
"94",871,2020-11-03,798.975,1330
"95",1029,2020-11-04,802.95,1349.025
"96",1138,2020-11-05,853.975,1401.125
"97",1133,2020-11-06,856,1433.025
"98",1234,2020-11-07,904.975,1497.1
"99",1397,2020-11-08,965.95,1626.025
"100",1169,2020-11-09,978,1644
"101",1162,2020-11-10,1002,1659.025
"102",1378,2020-11-11,1018.975,1716.025
"103",1365,2020-11-12,1009.975,1663.1
"104",1301,2020-11-13,990,1659
"105",1448,2020-11-14,983,1656.025
"106",1210,2020-11-15,958,1589.075
"107",1219,2020-11-16,949.975,1580.1
"108",982,2020-11-17,898.95,1510.025
"109",1179,2020-11-18,914.975,1511.125
"110",1207,2020-11-19,903,1483.125
"111",1259,2020-11-20,907.975,1506.05
"112",1189,2020-11-21,894.95,1472.025
"113",1154,2020-11-22,908.975,1519.05
"114",1164,2020-11-23,934.975,1559.05
"115",1124,2020-11-24,962,1575.05
"116",1098,2020-11-25,933.975,1558.025
"117",1465,2020-11-26,994.95,1647.025
"118",1270,2020-11-27,994.975,1660.075
"119",1480,2020-11-28,1048.95,1717.15
"120",1395,2020-11-29,1050,1764
"121",1333,2020-11-30,1082.975,1809.075
"122",1177,2020-12-01,1094,1808.05
"123",1514,2020-12-02,1113,1856.05
"124",1470,2020-12-03,1103.975,1854
"125",1345,2020-12-04,1142,1917.125
"126",2031,2020-12-05,1266.975,2133.05
"127",1691,2020-12-06,1290,2150.05
"128",1577,2020-12-07,1307,2199.125
"129",1564,2020-12-08,1355.85,2200
"130",1728,2020-12-09,1354,2229
"131",1842,2020-12-10,1364,2237.1
"132",1713,2020-12-11,1333.95,2218
"133",1897,2020-12-12,1353.95,2252.125
"134",1995,2020-12-13,1399.925,2362.075
"135",1620,2020-12-14,1407.975,2353.1
"136",1741,2020-12-15,1447.925,2403.075
"137",1897,2020-12-16,1445.975,2389.075
"138",1855,2020-12-17,1403.975,2328.025
"139",1773,2020-12-18,1417,2359.175
"140",2038,2020-12-19,1500.9,2484.025
"141",2146,2020-12-20,1598.95,2702.025
"142",2108,2020-12-21,1708,2832.225
"143",2183,2020-12-22,1758.925,2876.05
"144",2247,2020-12-23,1732.95,2870.125
"145",2349,2020-12-24,1712.975,2837.025
"146",2101,2020-12-25,1649,2739
"147",2102,2020-12-26,1603.925,2692.025
"148",2137,2020-12-27,1713.85,2850.35
"149",2265,2020-12-28,1853.975,3068.3
"150",2381,2020-12-29,1980.975,3307.1
"151",2511,2020-12-30,2032.95,3397.275
"152",2819,2020-12-31,2179.9,3660.3
"153",3659,2021-01-01,2443.975,4061.075
