"","y","date","lower","upper"
"1",141,2020-08-02,98,184.025
"2",123,2020-08-03,97,180.025
"3",123,2020-08-04,100,183
"4",155,2020-08-05,100,181
"5",133,2020-08-06,90,169
"6",108,2020-08-07,85,159
"7",126,2020-08-08,81,157
"8",104,2020-08-09,83,155
"9",156,2020-08-10,87,166
"10",91,2020-08-11,77,145
"11",95,2020-08-12,70.975,132.025
"12",104,2020-08-13,65,127
"13",87,2020-08-14,60,116
"14",80,2020-08-15,51,103
"15",67,2020-08-16,46,94
"16",55,2020-08-17,42,86
"17",46,2020-08-18,41,86
"18",64,2020-08-19,46,93.0249999999999
"19",86,2020-08-20,52,104
"20",93,2020-08-21,61,115
"21",104,2020-08-22,60.975,118
"22",74,2020-08-23,54,108
"23",68,2020-08-24,55,107
"24",62,2020-08-25,58,113
"25",142,2020-08-26,74,138.025
"26",111,2020-08-27,69,134.025
"27",68,2020-08-28,63,122
"28",108,2020-08-29,73.975,138
"29",120,2020-08-30,82.975,157
"30",140,2020-08-31,96,175
"31",122,2020-09-01,100,184
"32",132,2020-09-02,106,194
"33",187,2020-09-03,118.975,215
"34",184,2020-09-04,128,230
"35",175,2020-09-05,129,231
"36",205,2020-09-06,144,250.025
"37",216,2020-09-07,148,264
"38",163,2020-09-08,141.975,253
"39",180,2020-09-09,140,248.025
"40",188,2020-09-10,142,257
"41",219,2020-09-11,160,284
"42",244,2020-09-12,175.975,307
"43",279,2020-09-13,199.975,349
"44",276,2020-09-14,216,380
"45",292,2020-09-15,238.975,416.025
"46",303,2020-09-16,251.95,432
"47",499,2020-09-17,285,491
"48",297,2020-09-18,274.975,475.05
"49",427,2020-09-19,310,524.025
"50",462,2020-09-20,345.975,595
"51",586,2020-09-21,396.975,672.025
"52",489,2020-09-22,407.975,696.025
"53",471,2020-09-23,404.975,687
"54",582,2020-09-24,435.975,736.05
"55",637,2020-09-25,473,813
"56",698,2020-09-26,525.975,871.025
"57",896,2020-09-27,596.975,1002
"58",750,2020-09-28,619,1043.025
"59",799,2020-09-29,665.975,1096.075
"60",838,2020-09-30,670,1127
"61",933,2020-10-01,702.975,1207.075
"62",1052,2020-10-02,768.95,1289.025
"63",1107,2020-10-03,803,1339.125
"64",1079,2020-10-04,837,1427.05
"65",1191,2020-10-05,911,1504.025
"66",1364,2020-10-06,946.95,1577.05
"67",900,2020-10-07,822.975,1370.025
"68",1078,2020-10-08,799.95,1338.025
"69",1102,2020-10-09,799,1353.05
"70",1097,2020-10-10,767.975,1293.075
"71",942,2020-10-11,741.975,1226
"72",843,2020-10-12,735.975,1221.05
"73",815,2020-10-13,744.975,1254.075
"74",1203,2020-10-14,810.975,1343.1
"75",969,2020-10-15,769,1287.025
"76",1055,2020-10-16,809.95,1344.025
"77",1278,2020-10-17,848.95,1408.1
"78",1093,2020-10-18,828,1360.175
"79",950,2020-10-19,799,1321
"80",877,2020-10-20,773.975,1300.075
"81",1072,2020-10-21,784,1313.025
"82",1033,2020-10-22,760.95,1261.05
"83",905,2020-10-23,716,1194
"84",1009,2020-10-24,708.975,1184.025
"85",879,2020-10-25,696,1174
"86",808,2020-10-26,711.95,1169.025
"87",963,2020-10-27,754.975,1258.075
"88",929,2020-10-28,747.975,1261
"89",1029,2020-10-29,760,1278
"90",1109,2020-10-30,782,1318
"91",1064,2020-10-31,767.975,1287.025
"92",965,2020-11-01,773,1279.075
"93",1037,2020-11-02,796.975,1336.025
"94",871,2020-11-03,782.925,1310.1
"95",1029,2020-11-04,815.975,1340.075
"96",1138,2020-11-05,843,1397.025
"97",1133,2020-11-06,866.95,1451.05
"98",1234,2020-11-07,908,1533
"99",1397,2020-11-08,983,1642.075
"100",1169,2020-11-09,976.925,1614.075
"101",1162,2020-11-10,1010.95,1684.025
"102",1378,2020-11-11,1018.975,1699.025
"103",1365,2020-11-12,996,1693
"104",1301,2020-11-13,1004.975,1678.05
"105",1448,2020-11-14,976.975,1671.05
"106",1210,2020-11-15,950,1594.025
"107",1219,2020-11-16,950,1579.025
"108",982,2020-11-17,902.975,1507.025
"109",1179,2020-11-18,909.95,1516.025
"110",1207,2020-11-19,912.8,1523
"111",1259,2020-11-20,907.975,1502.1
"112",1189,2020-11-21,878,1494
"113",1154,2020-11-22,902.925,1494.05
"114",1164,2020-11-23,930,1565.1
"115",1124,2020-11-24,954,1578.05
"116",1098,2020-11-25,939.975,1573
"117",1465,2020-11-26,992.925,1637.025
"118",1270,2020-11-27,992,1673.025
"119",1480,2020-11-28,1025.975,1710.025
"120",1395,2020-11-29,1058.925,1770.05
"121",1333,2020-11-30,1067.95,1831.025
"122",1177,2020-12-01,1075,1792.025
"123",1514,2020-12-02,1108.95,1856
"124",1470,2020-12-03,1116,1845
"125",1345,2020-12-04,1135,1889.025
"126",2031,2020-12-05,1252.975,2129.05
"127",1691,2020-12-06,1291,2145.2
"128",1577,2020-12-07,1319.875,2188.125
"129",1564,2020-12-08,1333.975,2213
"130",1728,2020-12-09,1360.9,2241.025
"131",1842,2020-12-10,1346.975,2241.025
"132",1713,2020-12-11,1334,2212.05
"133",1897,2020-12-12,1368,2272
"134",1995,2020-12-13,1424.975,2379.075
"135",1620,2020-12-14,1394,2351.025
"136",1741,2020-12-15,1436,2422.075
"137",1897,2020-12-16,1450.975,2403.1
"138",1855,2020-12-17,1427.95,2360.025
"139",1773,2020-12-18,1438.975,2335.05
"140",2038,2020-12-19,1494,2453.025
"141",2146,2020-12-20,1605.9,2670.025
"142",2108,2020-12-21,1689.975,2815.075
"143",2183,2020-12-22,1770.55,2906.025
"144",2247,2020-12-23,1704.95,2874.025
"145",2349,2020-12-24,1709.875,2838.075
"146",2101,2020-12-25,1637.875,2721.025
"147",2102,2020-12-26,1599.975,2677.05
"148",2137,2020-12-27,1706,2824.075
"149",2265,2020-12-28,1870.975,3105.1
"150",2381,2020-12-29,1949.9,3280.05
"151",2511,2020-12-30,2056.925,3407
"152",2819,2020-12-31,2229,3615.05
"153",3659,2021-01-01,2463.85,4098.1
"154",3660,2021-01-02,2518.95,4190.05
"155",3695,2021-01-03,2499.95,4132.025
"156",2546,2021-01-04,2294.85,3780.175
"157",2508,2021-01-05,2181.9,3617.175
"158",2641,2021-01-06,2072,3430.175
"159",2519,2021-01-07,1981.95,3282.075
"160",2588,2021-01-08,1967.9,3279.025
"161",3127,2021-01-09,2011.8,3301.025
"162",2588,2021-01-10,1885.925,3131.125
"163",1869,2021-01-11,1695.975,2852.175
"164",1934,2021-01-12,1673.925,2734.05
"165",2071,2021-01-13,1625.975,2668.075
"166",2132,2021-01-14,1537,2577.1
"167",1918,2021-01-15,1501,2502.275
"168",2225,2021-01-16,1468.975,2410
"169",1743,2021-01-17,1394,2311.025
"170",1634,2021-01-18,1339.9,2219.05
"171",1387,2021-01-19,1246,2085.1
"172",1502,2021-01-20,1203.975,2054
"173",1624,2021-01-21,1192,2001.025
"174",1631,2021-01-22,1194.975,1978.025
"175",1685,2021-01-23,1137.975,1917
"176",1456,2021-01-24,1100.975,1830
"177",1203,2021-01-25,1045,1738.025
"178",1167,2021-01-26,1016.95,1716.1
"179",1328,2021-01-27,1006.975,1672.05
"180",1368,2021-01-28,997,1644.05
"181",1295,2021-01-29,943.925,1601
"182",1367,2021-01-30,939,1561
"183",1223,2021-01-31,898.975,1509.2
"184",890,2021-02-01,847.975,1404
"185",1053,2021-02-02,858,1436.025
"186",1052,2021-02-03,835.975,1389
"187",1094,2021-02-04,815.975,1372
"188",1101,2021-02-05,809.95,1395.025
"189",1204,2021-02-06,811,1370
"190",1081,2021-02-07,792,1324.025
"191",853,2021-02-08,767,1280.05
"192",826,2021-02-09,747,1248.05
"193",988,2021-02-10,757,1249
"194",1122,2021-02-11,753,1277.05
"195",984,2021-02-12,724.975,1230.025
"196",1049,2021-02-13,708.975,1209
"197",910,2021-02-14,673.95,1132.05
"198",728,2021-02-15,634,1064.05
"199",669,2021-02-16,608.975,1032
"200",800,2021-02-17,607,1011.025
"201",900,2021-02-18,621,1033.025
"202",800,2021-02-19,586.975,991.05
"203",769,2021-02-20,568.975,947.025
"204",666,2021-02-21,553.975,957
"205",805,2021-02-22,612,1035.05
"206",739,2021-02-23,630.975,1048
"207",806,2021-02-24,610.975,1042.075
"208",858,2021-02-25,601.975,1029.125
"209",815,2021-02-26,596,1002.025
"210",858,2021-02-27,594,971.05
"211",737,2021-02-28,559,945
"212",613,2021-03-01,538.975,903.025
"213",588,2021-03-02,522.975,892
"214",729,2021-03-03,536,913
"215",707,2021-03-04,541.975,892
"216",798,2021-03-05,553.975,920
"217",749,2021-03-06,542.95,904
"218",707,2021-03-07,526,905
"219",579,2021-03-08,528,872
"220",650,2021-03-09,558.975,934.075
"221",792,2021-03-10,564,962
"222",738,2021-03-11,547.975,919.025
"223",739,2021-03-12,544.975,899
"224",789,2021-03-13,531.975,892.025
"225",674,2021-03-14,518.95,892.025
"226",594,2021-03-15,507.975,856.025
"227",561,2021-03-16,507.975,848
"228",703,2021-03-17,522.975,878.025
"229",702,2021-03-18,525.975,874.075
"230",764,2021-03-19,534,910
"231",775,2021-03-20,550.975,923
"232",648,2021-03-21,540.975,903
"233",712,2021-03-22,560.975,958.025
"234",656,2021-03-23,592.975,1014
"235",783,2021-03-24,616,1038
"236",945,2021-03-25,661,1122
"237",950,2021-03-26,682.95,1156.05
"238",1009,2021-03-27,694.975,1198.125
"239",917,2021-03-28,720,1224.025
"240",891,2021-03-29,741,1243
"241",864,2021-03-30,777,1289.025
"242",1025,2021-03-31,816.975,1346
"243",1271,2021-04-01,868.925,1478
"244",1314,2021-04-02,911,1540.025
"245",1282,2021-04-03,926,1542
"246",1154,2021-04-04,927.975,1579.075
"247",1252,2021-04-05,981.95,1654
"248",1168,2021-04-06,1027.95,1718.025
"249",1270,2021-04-07,1069.975,1751.05
"250",1609,2021-04-08,1144.975,1878.05
"251",1683,2021-04-09,1165.95,1989.025
"252",1754,2021-04-10,1195,2012.025
"253",1535,2021-04-11,1232.975,2043.025
"254",1599,2021-04-12,1277.925,2093.025
"255",1490,2021-04-13,1260,2071.025
"256",1559,2021-04-14,1202,1987.05
"257",1513,2021-04-15,1148,1885.025
"258",1527,2021-04-16,1109.9,1838.15
"259",1537,2021-04-17,1075.975,1814.05
"260",1344,2021-04-18,1036.95,1703.05
"261",1092,2021-04-19,985,1606.025
"262",1136,2021-04-20,968.975,1599.05
"263",1217,2021-04-21,914,1537.05
"264",1248,2021-04-22,877.975,1470
"265",1043,2021-04-23,822.925,1369.075
"266",1106,2021-04-24,789.975,1325.05
"267",1014,2021-04-25,784,1300.2
"268",889,2021-04-26,766,1295.15
"269",899,2021-04-27,771.975,1322.025
"270",1094,2021-04-28,793,1323
"271",1042,2021-04-29,777.975,1290.05
"272",1041,2021-04-30,767,1286.05
"273",1101,2021-05-01,762.975,1283
"274",1006,2021-05-02,750.95,1253
"275",798,2021-05-03,696,1166
"276",797,2021-05-04,696,1177
"277",915,2021-05-05,686.975,1141.025
"278",907,2021-05-06,680.975,1139.025
"279",919,2021-05-07,672.975,1121.125
"280",958,2021-05-08,660.975,1121
"281",960,2021-05-09,661,1096.025
"282",662,2021-05-10,595,1015.05
"283",660,2021-05-11,582,1000.025
"284",745,2021-05-12,573,968.025
"285",781,2021-05-13,569,961
"286",838,2021-05-14,568,971
"287",760,2021-05-15,547,906
"288",716,2021-05-16,516.975,887
"289",551,2021-05-17,490.975,807.025
"290",549,2021-05-18,478,811
"291",584,2021-05-19,458,771.05
"292",662,2021-05-20,472,790
"293",752,2021-05-21,450.975,774
"294",505,2021-05-22,393,667.05
"295",477,2021-05-23,361,635.025
"296",433,2021-05-24,343,581.025
"297",346,2021-05-25,308.975,527
"298",308,2021-05-26,271,474.025
"299",436,2021-05-27,292,508
