"","y","date","lower","upper"
"1",141,2020-08-02,94,194
"2",123,2020-08-03,91,188.025
"3",123,2020-08-04,94,193
"4",155,2020-08-05,96,194
"5",133,2020-08-06,84.975,177
"6",108,2020-08-07,81,167
"7",126,2020-08-08,78,164
"8",104,2020-08-09,78,163
"9",156,2020-08-10,85,176.025
"10",91,2020-08-11,74,157
"11",95,2020-08-12,67,142
"12",104,2020-08-13,64,134
"13",87,2020-08-14,55,120
"14",80,2020-08-15,49,108
"15",67,2020-08-16,44,98
"16",55,2020-08-17,40,91
"17",46,2020-08-18,40,88.0249999999999
"18",64,2020-08-19,44,99
"19",86,2020-08-20,51,109
"20",93,2020-08-21,55,121
"21",104,2020-08-22,56,121.025
"22",74,2020-08-23,53,115
"23",68,2020-08-24,52,116
"24",62,2020-08-25,57,121
"25",142,2020-08-26,69,148
"26",111,2020-08-27,65,140
"27",68,2020-08-28,60,127
"28",108,2020-08-29,69,146
"29",120,2020-08-30,80,165.025
"30",140,2020-08-31,91,189.05
"31",122,2020-09-01,95,199
"32",132,2020-09-02,100,204
"33",187,2020-09-03,114,223
"34",184,2020-09-04,122.975,241
"35",175,2020-09-05,120,243.025
"36",205,2020-09-06,134.975,264
"37",216,2020-09-07,139,277
"38",163,2020-09-08,136.975,270
"39",180,2020-09-09,135,269.025
"40",188,2020-09-10,135,273
"41",219,2020-09-11,148.975,301
"42",244,2020-09-12,167,319
"43",279,2020-09-13,189,368
"44",276,2020-09-14,204.975,400.025
"45",292,2020-09-15,224,441.025
"46",303,2020-09-16,239,464
"47",499,2020-09-17,263,519
"48",297,2020-09-18,260,498.025
"49",427,2020-09-19,284.975,556.025
"50",462,2020-09-20,327.975,626
"51",586,2020-09-21,372,733.025
"52",489,2020-09-22,386.95,731.025
"53",471,2020-09-23,379,731.025
"54",582,2020-09-24,402,775
"55",637,2020-09-25,451.975,877.025
"56",698,2020-09-26,485.975,936
"57",896,2020-09-27,561.975,1056.15
"58",750,2020-09-28,591.975,1139.025
"59",799,2020-09-29,615.975,1194.325
