"","y","date","lower","upper"
"1",88,2020-08-02,44,168
"2",77,2020-08-03,43,156.025
"3",95,2020-08-04,44,154
"4",78,2020-08-05,45,151.025
"5",87,2020-08-06,45,155.025
"6",88,2020-08-07,44,160
"7",86,2020-08-08,44,149
"8",59,2020-08-09,45.975,150
"9",129,2020-08-10,45,154
"10",95,2020-08-11,45,151
"11",74,2020-08-12,46,153.025
"12",74,2020-08-13,46.975,157
"13",86,2020-08-14,44,158.025
"14",102,2020-08-15,46.975,163.025
"15",51,2020-08-16,49,166.025
"16",127,2020-08-17,50,169
"17",117,2020-08-18,51,173.025
"18",87,2020-08-19,50,178
"19",97,2020-08-20,53,183.025
"20",143,2020-08-21,54.975,187
"21",76,2020-08-22,54,190
"22",95,2020-08-23,56,197
"23",155,2020-08-24,60,203
"24",86,2020-08-25,58,202
"25",125,2020-08-26,61,211
"26",137,2020-08-27,63,220.025
"27",118,2020-08-28,64,214.025
"28",114,2020-08-29,65.975,227
"29",89,2020-08-30,66.975,230.025
"30",156,2020-08-31,73,227
"31",135,2020-09-01,71,241
"32",140,2020-09-02,74.975,248.025
"33",149,2020-09-03,79,261
"34",127,2020-09-04,79,272
"35",157,2020-09-05,84,279
"36",125,2020-09-06,89,289.025
"37",184,2020-09-07,93,303
"38",241,2020-09-08,100.975,338.05
"39",186,2020-09-09,105,349
"40",163,2020-09-10,106.975,359.025
"41",235,2020-09-11,115,388.025
"42",184,2020-09-12,130.975,403.05
"43",223,2020-09-13,137,446
"44",377,2020-09-14,146.975,478.025
"45",255,2020-09-15,156,517.025
"46",326,2020-09-16,163,552.025
"47",339,2020-09-17,189,587
"48",399,2020-09-18,198.975,642.025
"49",380,2020-09-19,200,650.025
"50",290,2020-09-20,209,679.025
"51",514,2020-09-21,230.975,709.025
"52",518,2020-09-22,223.975,747.025
"53",344,2020-09-23,245.975,766.05
"54",394,2020-09-24,240.925,809.05
"55",496,2020-09-25,252,835.075
"56",465,2020-09-26,275.975,905
"57",449,2020-09-27,284,944.025
"58",767,2020-09-28,305.975,994.224999999999
"59",562,2020-09-29,319.975,1050.2
"60",645,2020-09-30,320.95,1072.025
"61",582,2020-10-01,337.975,1082.125
"62",733,2020-10-02,342.925,1104.1
